Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2019,National,,National,,Totals,Overall,1239380,803549,66138200,1501140466,4.41,-1.32,-0.27,7290510,11.02,-1.73,-0.77
2019,National,,National,,Rural/Urban,Rural,134064,95576,11754049,260225758,4.52,-1.48,-0.29,1211808,10.31,-1.92,-0.73
2019,National,,National,,Rural/Urban,Urban,1103989,707114,54351962,1240046489,4.38,-1.29,-0.28,6735793,12.39,-1.41,-0.68
2019,State,1,Alabama,,Totals,Overall,15575,9739,1814583,28008206,6.48,-1.4,-0.42,138456,7.63,-2.13,-0.73
2019,State,2,Alaska,,Totals,Overall,2847,1935,80311,1639104,4.9,-2.01,-0.9,13005,16.19,-3.73,-2.42
2019,State,4,Arizona,,Totals,Overall,25876,16578,1359955,25693764,5.29,-1.79,-0.33,184250,13.55,-2.58,-1.25
2019,State,5,Arkansas,,Totals,Overall,9700,7258,998319,17894303,5.58,-1.08,-0.32,76135,7.63,-1.69,-0.93
2019,State,6,California,,Totals,Overall,129325,80941,5888034,138971644,4.24,-1.29,-0.35,630832,10.71,-1.32,-0.55
2019,State,8,Colorado,,Totals,Overall,21262,15273,986823,17403100,5.67,-1.81,-0.45,130781,13.25,-2.56,-0.95
2019,State,9,Connecticut,,Totals,Overall,18060,10751,578122,16874265,3.43,-1.17,-0.13,83186,14.39,-2.38,-0.53
2019,State,10,Delaware,,Totals,Overall,3759,2535,181569,4294537,4.23,-2.38,-0.71,31988,17.62,-2.04,-1.66
2019,State,11,District of Columbia,,Totals,Overall,4957,3070,75262,2071246,3.63,-0.96,-0.18,7822,10.39,-0.53,0.09
2019,State,12,Florida,,Totals,Overall,78483,45389,4865839,108893059,4.47,-0.84,-0.36,633156,13.01,-0.25,-0.75
2019,State,13,Georgia,,Totals,Overall,32018,21486,2528554,47614255,5.31,-1.05,-0.19,254493,10.06,-0.27,-0.39
2019,State,15,Hawaii,,Totals,Overall,4404,2761,138596,3970008,3.49,-0.41,-0.12,17218,12.42,-2.02,-0.47
2019,State,16,Idaho,,Totals,Overall,6189,4353,410737,6763726,6.07,-1.71,-0.43,57662,14.04,-2.73,-1.15
2019,State,17,Illinois,,Totals,Overall,48887,32614,2077113,51934062,4,-0.95,-0.21,170399,8.2,-2.39,-0.96
2019,State,18,Indiana,,Totals,Overall,23218,16277,1779078,34109580,5.22,-1.46,-0.16,174024,9.78,-3.33,-0.93
2019,State,19,Iowa,,Totals,Overall,11254,7831,634671,16836835,3.77,-1.11,-0.21,74598,11.75,-2.28,-1.05
2019,State,20,Kansas,,Totals,Overall,10351,7486,729549,14088368,5.18,-1.22,-0.25,88960,12.19,-2.23,-1.2
2019,State,21,Kentucky,,Totals,Overall,16892,10316,1514899,29583406,5.12,-0.9,-0.1,97148,6.41,-2.57,-0.77
2019,State,22,Louisiana,,Totals,Overall,18380,12659,1367767,26579391,5.15,-1.12,-0.2,100542,7.35,-0.85,-0.58
