state,Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,state,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg,range_category,2018_age_adjusted_rate,2018_num_deaths,Normalized_Death_Rate,Normalized_Long-Acting_Rate,Normalized_Tot_Opioid_Clms
Alabama,2018,State,1.0,Alabama,,Totals,Overall,15088.0,9869.0,1938707.0,28106945.0,6.9,-0.88,-0.31,162063.0,8.36,-1.36,-0.97,16.1 to 18.5,16.6,775,15.856190287377592,3315.7442148945483,39772.54217162589
Alaska,2018,State,2.0,Alaska,,Totals,Overall,2550.0,1792.0,72081.0,1241959.0,5.8,-1.12,-0.59,13417.0,18.61,-0.96,-0.72,13.6 to 16.0,14.6,110,14.96315662752214,1825.0970224678597,9744.626199810735
Arizona,2018,State,4.0,Arizona,,Totals,Overall,24827.0,17019.0,1421243.0,25292924.0,5.62,-1.46,-0.58,210345.0,14.8,-1.44,-0.98,21.1 to 57.0,23.8,"1,670",23.330461032262534,2938.5903148690195,20176.62387663387
Arkansas,2018,State,5.0,Arkansas,,Totals,Overall,9346.0,7116.0,1065054.0,18046926.0,5.9,-0.87,-0.3,91167.0,8.56,-0.76,-0.95,13.6 to 16.0,15.7,444,14.752139143239617,3029.0726785399233,35485.89049242923
California,2018,State,6.0,California,,Totals,Overall,124667.0,83030.0,6399200.0,139386198.0,4.59,-0.96,-0.31,720716.0,11.26,-0.67,-0.59,11.1 to 13.5,12.8,"5,348",13.552419633999525,1826.373535702618,16258.75093756756
Colorado,2018,State,8.0,Colorado,,Totals,Overall,21108.0,15451.0,1050236.0,17163428.0,6.12,-1.52,-0.54,149149.0,14.2,-2.17,-0.99,16.1 to 18.5,16.8,995,17.4828645963558,2620.655046916453,18714.496109595973
Connecticut,2018,State,9.0,Connecticut,,Totals,Overall,17737.0,11023.0,599086.0,16819369.0,3.56,-1.06,-0.3,89357.0,14.92,-2.03,-1.07,21.1 to 57.0,30.7,"1,069",29.931233760415733,2501.9319505420663,16765.636889404937
Delaware,2018,State,10.0,Delaware,,Totals,Overall,3643.0,2552.0,207167.0,4195767.0,4.94,-1.73,-0.55,39941.0,19.28,0.19,-0.36,21.1 to 57.0,43.8,401,41.53378789181329,4136.910279767866,21651.548928067154
Florida,2018,State,12.0,Florida,,Totals,Overall,75094.0,45907.0,5170763.0,107063112.0,4.83,-0.44,-0.34,711359.0,13.76,0.82,-0.19,21.1 to 57.0,22.8,"4,698",669.6629021291517,101398.62332815905,744095.3164888488
Georgia,2018,State,13.0,Georgia,,Totals,Overall,30991.0,21722.0,2644972.0,48092412.0,5.5,-1.13,-0.26,276313.0,10.45,0.15,-0.2,11.1 to 13.5,13.2,"1,404",6.608826256923204,1300.6443087814966,12616.966359758691
Hawaii,2018,State,15.0,Hawaii,,Totals,Overall,4338.0,2871.0,145845.0,4035698.0,3.61,-0.34,-0.25,18802.0,12.89,-1.86,-0.8,13.6 to 16.0,14.3,213,2.0264232269581646,178.8770399683916,1400.9642345631694
Idaho,2018,State,16.0,Idaho,,Totals,Overall,5857.0,4255.0,422838.0,6506229.0,6.5,-1.3,-0.52,64218.0,15.19,-1.57,-0.94,13.6 to 16.0,14.6,250,17.59828465999762,4520.506577182909,29685.487081163697
Illinois,2018,State,17.0,Illinois,,Totals,Overall,47788.0,33088.0,2196328.0,52165864.0,4.21,-0.87,-0.29,201126.0,9.16,-1.45,-0.89,21.1 to 57.0,21.3,"2,722",155.49523117490872,11489.395248084016,127863.35335023564
Indiana,2018,State,18.0,Indiana,,Totals,Overall,22579.0,16463.0,1843460.0,34249339.0,5.38,-1.58,-0.45,197512.0,10.71,-2.63,-0.8,21.1 to 57.0,25.6,"1,629",12.803512611066935,1552.3925002069077,14425.892577942204
Iowa,2018,State,19.0,Iowa,,Totals,Overall,11026.0,8075.0,671593.0,16893360.0,3.98,-0.96,-0.31,85936.0,12.8,-1.33,-0.82,6.9 to 11.0,9.6,287,4.2864629765348266,1283.489485545285,10086.8899403101
Kansas,2018,State,20.0,Kansas,,Totals,Overall,10167.0,7529.0,766156.0,14111019.0,5.43,-0.99,-0.33,102607.0,13.39,-0.96,-1.0,11.1 to 13.5,12.4,345,10.957188201299745,3258.794810929748,24387.83403097197
Kentucky,2018,State,21.0,Kentucky,,Totals,Overall,16461.0,10328.0,1587622.0,30442719.0,5.22,-1.04,-0.1,114027.0,7.18,-1.9,-0.74,21.1 to 57.0,30.9,"1,315",45.16790955701444,3916.6245042263763,54581.5029164051
Louisiana,2018,State,22.0,Louisiana,,Totals,Overall,17687.0,12685.0,1429198.0,26719462.0,5.35,-1.06,-0.22,113312.0,7.93,-0.11,-0.51,21.1 to 57.0,25.4,"1,140",25.553931909531013,2539.9711688884017,32100.448580363984
Maine,2018,State,23.0,Maine,,Totals,Overall,6253.0,4119.0,319189.0,6963414.0,4.58,-1.79,-0.49,54494.0,17.07,-0.95,-1.09,21.1 to 57.0,27.9,345,7.40392601224545,1169.4769394530538,6834.062724812443
Maryland,2018,State,24.0,Maryland,,Totals,Overall,23954.0,16088.0,969928.0,19464724.0,4.98,-1.22,-0.49,162256.0,16.73,-0.08,-0.79,21.1 to 57.0,37.2,"2,324",173.55497189440032,12117.183958561884,72674.9047663291
Massachusetts,2018,State,25.0,Massachusetts,,Totals,Overall,36334.0,23338.0,1186416.0,35705205.0,3.32,-1.27,-0.26,178465.0,15.04,-0.34,-0.37,21.1 to 57.0,32.8,"2,241",37.12845451192733,2956.773598603798,19695.252286404684
Michigan,2018,State,26.0,Michigan,,Totals,Overall,42519.0,31408.0,2815486.0,50756009.0,5.55,-2.02,-0.75,331029.0,11.76,-0.64,-0.27,21.1 to 57.0,26.6,"2,591",37.645465726425996,4809.625964474362,41043.33238238086
Minnesota,2018,State,27.0,Minnesota,,Totals,Overall,22901.0,16183.0,933763.0,23115688.0,4.04,-1.32,-0.42,120468.0,12.9,-2.3,-0.74,11.1 to 13.5,11.5,636,6.370146369136761,1206.6018754672443,9362.80283169329
Mississippi,2018,State,28.0,Mississippi,,Totals,Overall,9466.0,7162.0,899539.0,18271082.0,4.92,-1.54,-0.68,69551.0,7.73,-0.33,-0.63,6.9 to 11.0,10.8,310,5.5295439071650225,1240.5977686684982,16160.650925312106
Missouri,2018,State,29.0,Missouri,,Totals,Overall,22210.0,14303.0,1823280.0,35978609.0,5.07,-1.12,-0.3,207852.0,11.4,-0.98,-0.75,21.1 to 57.0,27.5,"1,610",54.00835955478326,6972.51276408746,61009.66702470462
Montana,2018,State,30.0,Montana,,Totals,Overall,4235.0,3135.0,250158.0,4367587.0,5.73,-1.14,-0.27,36503.0,14.59,-3.22,-0.85,11.1 to 13.5,12.2,125,2.04194214508146,596.2961129752682,4096.471563061374
Nebraska,2018,State,31.0,Nebraska,,Totals,Overall,7309.0,5334.0,416621.0,9711147.0,4.29,-0.86,-0.21,57471.0,13.79,-0.59,-0.26,6.9 to 11.0,7.4,138,13.01070554793455,5418.39317786483,39584.619974498375
Nevada,2018,State,32.0,Nevada,,Totals,Overall,8287.0,5869.0,604152.0,9641913.0,6.27,-1.94,-0.96,82819.0,13.71,-1.08,-0.3,11.1 to 13.5,21.2,688,35.72886362479708,4300.913890322775,31532.8137991291
New Hampshire,2018,State,33.0,New Hampshire,,Totals,Overall,6280.0,4108.0,254560.0,5917789.0,4.3,-2.0,-0.28,50668.0,19.9,-1.41,-1.06,21.1 to 57.0,35.8,452,14.930594207920416,1673.6799719621938,8571.317937779155
New Jersey,2018,State,34.0,New Jersey,,Totals,Overall,32263.0,20400.0,1261303.0,36998355.0,3.41,-0.94,-0.38,194169.0,15.39,-1.22,-1.02,21.1 to 57.0,33.1,"2,900",214.26486831946156,14346.067316110872,93513.8758009975
New Mexico,2018,State,35.0,New Mexico,,Totals,Overall,7682.0,5347.0,400898.0,7524386.0,5.33,-1.28,-0.4,41073.0,10.25,-2.94,-0.91,21.1 to 57.0,26.7,537,6.0431970425471455,462.220171561525,4511.809938073439
New York,2018,State,36.0,New York,,Totals,Overall,94524.0,52569.0,2652977.0,99927942.0,2.65,-0.54,-0.2,357563.0,13.48,-1.2,-0.63,16.1 to 18.5,18.4,"3,697",176.6582677932912,17085.8696800034,126828.43926523963
North Carolina,2018,State,37.0,North Carolina,,Totals,Overall,36863.0,27597.0,2822279.0,53706368.0,5.26,-1.12,-0.42,355468.0,12.6,-0.7,-0.59,21.1 to 57.0,22.4,"2,259",11.566612397288711,1820.0799360953624,14407.047790528552
North Dakota,2018,State,38.0,North Dakota,,Totals,Overall,3026.0,2147.0,136499.0,3817466.0,3.58,-1.08,-0.33,19186.0,14.06,-3.58,-1.33,6.9 to 11.0,10.2,70,0.6742688878368154,184.8074697433877,1329.3329046974293
Ohio,2018,State,39.0,Ohio,,Totals,Overall,46579.0,32421.0,2696898.0,64045351.0,4.21,-1.67,-0.43,266991.0,9.9,-1.62,-0.45,21.1 to 57.0,35.9,"3,980",525.0105529759393,35219.36998733643,357232.47613723966
Oklahoma,2018,State,40.0,Oklahoma,,Totals,Overall,12320.0,9063.0,1190171.0,17803703.0,6.68,-1.13,-0.41,156315.0,13.13,0.25,-0.82,16.1 to 18.5,18.4,716,6.132057979464628,1338.7327417039294,10207.604859494068
Oregon,2018,State,41.0,Oregon,,Totals,Overall,17427.0,12347.0,1032013.0,17110147.0,6.03,-1.58,-0.47,137913.0,13.36,-4.68,-1.44,11.1 to 13.5,12.6,547,13.882420718561201,3500.1211856653217,26251.08233477034
Pennsylvania,2018,State,42.0,Pennsylvania,,Totals,Overall,58788.0,36993.0,3006794.0,75965494.0,3.96,-1.12,-0.39,444007.0,14.77,-1.02,-0.93,21.1 to 57.0,36.1,"4,415",105.57437481557363,10617.386509340522,72564.33678240671
Rhode Island,2018,State,44.0,Rhode Island,,Totals,Overall,5031.0,3346.0,184263.0,6155210.0,2.99,-1.23,-0.27,19748.0,10.72,-1.46,-0.82,21.1 to 57.0,30.1,317,2.4763841229561434,154.27013772914168,1440.9459883961397
South Carolina,2018,State,45.0,South Carolina,,Totals,Overall,17338.0,12152.0,1380213.0,26529907.0,5.2,-1.69,-0.44,139873.0,10.13,0.38,-0.09,21.1 to 57.0,22.6,"1,125",106.30386653147964,13216.925087429025,130742.47423207754
South Dakota,2018,State,46.0,South Dakota,,Totals,Overall,3436.0,2540.0,190210.0,4348369.0,4.37,-0.88,-0.4,29796.0,15.66,-1.82,-0.62,6.9 to 11.0,6.9,57,1.1211300361357914,586.0559746789831,3788.08699316587
Tennessee,2018,State,47.0,Tennessee,,Totals,Overall,25515.0,18936.0,2481486.0,40226477.0,6.17,-1.25,-0.51,269830.0,10.87,-3.21,-1.13,21.1 to 57.0,27.5,"1,823",207.4660463549479,30707.933783848373,284291.0955608408
Texas,2018,State,48.0,Texas,,Totals,Overall,76460.0,55020.0,4833107.0,95543731.0,5.06,-1.11,-0.3,405520.0,8.39,0.33,-0.46,6.9 to 11.0,10.4,"3,005",44.376310522531426,5988.512959433259,72041.3146973102
Utah,2018,State,49.0,Utah,,Totals,Overall,9104.0,6889.0,537426.0,7907035.0,6.8,-1.01,-0.47,74550.0,13.87,-0.52,-0.75,21.1 to 57.0,21.2,624,2.1796335183763014,260.4033314021687,1899.3490538154554
Vermont,2018,State,50.0,Vermont,,Totals,Overall,2778.0,1776.0,117296.0,2699094.0,4.35,-1.64,-0.52,24883.0,21.21,-0.86,-0.23,21.1 to 57.0,26.6,153,4.851675096320021,789.0472641943207,3782.4705373226157
Virginia,2018,State,51.0,Virginia,,Totals,Overall,27466.0,19641.0,1388036.0,31488501.0,4.41,-1.63,-0.46,162225.0,11.69,0.24,-0.14,16.1 to 18.5,17.1,"1,448",231.91822640216031,25982.689418570753,222319.10613379805
Washington,2018,State,53.0,Washington,,Totals,Overall,28635.0,19833.0,1458542.0,24719635.0,5.9,-1.18,-0.5,210669.0,14.44,-2.92,-1.03,13.6 to 16.0,14.8,"1,164",13.69204612102216,2478.083904011699,17233.1424016791
West Virginia,2018,State,54.0,West Virginia,,Totals,Overall,7787.0,4979.0,550823.0,12380535.0,4.45,-2.14,-0.45,42330.0,7.68,-1.11,-0.71,21.1 to 57.0,51.5,856,11.377125252978223,562.6094765871123,7420.128507810881
