state,Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,state,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg,Range Category,2019 Age-adjusted Rate,2019 Number of Deaths,Normalized_Death_Rate,Normalized_Long-Acting_Rate,Normalized_Tot_Opioid_Clms
Alabama,2019,State,1.0,Alabama,,Totals,Overall,15575.0,9739.0,1814583.0,28008206.0,6.48,-1.4,-0.42,138456.0,7.63,-2.13,-0.73,16.1 to 18.5,16.3,768.0,15.663288250392348,2823.797184891045,37008.25075945534
Alaska,2019,State,2.0,Alaska,,Totals,Overall,2847.0,1935.0,80311.0,1639104.0,4.9,-2.01,-0.9,13005.0,16.19,-3.73,-2.42,16.1 to 18.5,17.8,132.0,18.04400276127921,1777.7443629578495,10978.272013341626
Arizona,2019,State,4.0,Arizona,,Totals,Overall,25876.0,16578.0,1359955.0,25693764.0,5.29,-1.79,-0.33,184250.0,13.55,-2.58,-1.25,21.1 to 57.0,26.8,1907.0,26.19967227740823,2531.352709550323,18683.99334662963
Arkansas,2019,State,5.0,Arkansas,,Totals,Overall,9700.0,7258.0,998319.0,17894303.0,5.58,-1.08,-0.32,76135.0,7.63,-1.69,-0.93,11.1 to 13.5,13.5,388.0,12.857031139199233,2522.860994285911,33080.975437768655
California,2019,State,6.0,California,,Totals,Overall,129325.0,80941.0,5888034.0,138971644.0,4.24,-1.29,-0.35,630832.0,10.71,-1.32,-0.55,13.6 to 16.0,15.0,6198.0,15.686285228750608,1596.5489970027756,14901.803930393895
Colorado,2019,State,8.0,Colorado,,Totals,Overall,21262.0,15273.0,986823.0,17403100.0,5.67,-1.81,-0.45,130781.0,13.25,-2.56,-0.95,16.1 to 18.5,18.0,1079.0,18.736750564707254,2271.001830957349,17136.104172860156
Connecticut,2019,State,9.0,Connecticut,,Totals,Overall,18060.0,10751.0,578122.0,16874265.0,3.43,-1.17,-0.13,83186.0,14.39,-2.38,-0.53,21.1 to 57.0,34.7,1214.0,34.05055469587722,2333.220298954895,16215.300479316253
Delaware,2019,State,10.0,Delaware,,Totals,Overall,3759.0,2535.0,181569.0,4294537.0,4.23,-2.38,-0.71,31988.0,17.62,-2.04,-1.66,21.1 to 57.0,48.0,435.0,44.672014985150405,3284.984862862049,18646.09905480178
Florida,2019,State,12.0,Florida,,Totals,Overall,78483.0,45389.0,4865839.0,108893059.0,4.47,-0.84,-0.36,633156.0,13.01,-0.25,-0.75,21.1 to 57.0,25.5,5268.0,44.06665825952286,1108.3260479292212,10664.131298804532
Georgia,2019,State,13.0,Georgia,,Totals,Overall,32018.0,21486.0,2528554.0,47614255.0,5.31,-1.05,-0.19,254493.0,10.06,-0.27,-0.39,11.1 to 13.5,13.1,1408.0,24.52772375413667,2947.9642105683665,22655.26856949594
Hawaii,2019,State,15.0,Hawaii,,Totals,Overall,4404.0,2761.0,138596.0,3970008.0,3.49,-0.41,-0.12,17218.0,12.42,-2.02,-0.47,13.6 to 16.0,15.9,242.0,13.261221673093369,2396.9375619677203,23815.13856987708
Idaho,2019,State,16.0,Idaho,,Totals,Overall,6189.0,4353.0,410737.0,6763726.0,6.07,-1.71,-0.43,57662.0,14.04,-2.73,-1.15,13.6 to 16.0,15.1,265.0,17.091940514396782,1216.0703792433214,9788.737965013786
Illinois,2019,State,17.0,Illinois,,Totals,Overall,48887.0,32614.0,2077113.0,51934062.0,4.0,-0.95,-0.21,170399.0,8.2,-2.39,-0.96,21.1 to 57.0,21.9,2790.0,14.828783508154432,3226.6313760271732,22983.886987882364
Indiana,2019,State,18.0,Indiana,,Totals,Overall,23218.0,16277.0,1779078.0,34109580.0,5.22,-1.46,-0.16,174024.0,9.78,-3.33,-0.93,21.1 to 57.0,26.6,1699.0,22.01735646360535,1344.7080731332933,16391.590443078385
Iowa,2019,State,19.0,Iowa,,Totals,Overall,11254.0,7831.0,634671.0,16836835.0,3.77,-1.11,-0.21,74598.0,11.75,-2.28,-1.05,11.1 to 13.5,11.5,352.0,25.236849841040524,2584.942646696431,26426.323920835017
Kansas,2019,State,20.0,Kansas,,Totals,Overall,10351.0,7486.0,729549.0,14088368.0,5.18,-1.22,-0.25,88960.0,12.19,-2.23,-1.2,13.6 to 16.0,14.3,403.0,11.156646286770183,2364.384942330915,20115.908680314544
Kentucky,2019,State,21.0,Kentucky,,Totals,Overall,16892.0,10316.0,1514899.0,29583406.0,5.12,-0.9,-0.1,97148.0,6.41,-2.57,-0.77,21.1 to 57.0,32.5,1380.0,13.833043743310881,3053.5671747020747,25041.89387069159
Louisiana,2019,State,22.0,Louisiana,,Totals,Overall,18380.0,12659.0,1367767.0,26579391.0,5.15,-1.12,-0.2,100542.0,7.35,-0.85,-0.58,21.1 to 57.0,28.3,1267.0,30.88856324086387,2174.4653200894513,33908.00982972568
Maine,2019,State,23.0,Maine,,Totals,Overall,6404.0,4145.0,305575.0,6950146.0,4.4,-1.87,-0.18,49864.0,16.32,-1.92,-0.75,21.1 to 57.0,29.9,371.0,27.254380383385456,2162.7544692236306,29421.97481755483
Maryland,2019,State,24.0,Maryland,,Totals,Overall,24498.0,15725.0,933513.0,19594479.0,4.76,-1.45,-0.22,148648.0,15.92,-1.03,-0.81,21.1 to 57.0,38.2,2369.0,27.59981312471545,3709.53391280542,22732.649314245074
Massachusetts,2019,State,25.0,Massachusetts,,Totals,Overall,36988.0,23028.0,1137441.0,34914678.0,3.26,-1.23,-0.06,163389.0,14.36,-1.09,-0.68,21.1 to 57.0,32.1,2210.0,39.18500482989507,2458.7474031043657,15440.992576517448
Michigan,2019,State,26.0,Michigan,,Totals,Overall,43309.0,30583.0,2595711.0,50868312.0,5.1,-2.35,-0.45,283599.0,10.93,-1.53,-0.83,21.1 to 57.0,24.4,2385.0,32.06382354857154,2370.5321564604324,16502.582588647405
Minnesota,2019,State,27.0,Minnesota,,Totals,Overall,23498.0,16098.0,878126.0,23344567.0,3.76,-1.64,-0.28,104798.0,11.93,-3.05,-0.97,13.6 to 16.0,14.2,792.0,23.881387307338034,2839.7222469491653,25991.27032659024
