,State Name,Source Year,SmokingValue,UnemploymentValue,FreqPhysDistressValue,ExcessiveDrinkingValue,EducationLTHSValue,ECigValue,Depression65UpValue,DepressionValue,CancerValue
0,Alabama,2018,19.2,7.0,15.1,13.8,6.7,,19.7,24.0,8.1
1,Alaska,2018,19.1,5.8,12.0,17.7,13.4,6.0,13.3,20.2,6.1
2,Arizona,2018,14.0,4.7,14.2,17.2,12.8,,13.8,16.7,7.6
3,Arkansas,2018,22.7,5.4,16.1,15.8,12.5,7.0,13.2,22.5,8.7
4,California,2018,11.2,5.6,12.2,17.6,16.2,,13.9,15.4,5.8
5,Colorado,2018,14.5,4.0,9.8,20.8,8.1,7.5,11.3,15.7,6.4
6,Connecticut,2018,12.2,5.6,10.5,19.0,9.1,5.6,11.0,15.5,7.5
7,Delaware,2018,16.5,5.8,12.1,18.1,10.2,4.7,11.0,16.9,7.5
8,Florida,2018,14.5,5.3,13.8,18.2,11.5,5.9,12.1,15.6,7.9
9,Georgia,2018,16.1,4.9,12.7,16.1,12.4,5.3,15.0,17.1,6.2
10,Hawaii,2018,13.4,3.9,10.5,21.3,8.0,7.1,8.8,12.6,5.9
11,Idaho,2018,14.7,3.8,11.5,16.5,7.7,5.8,13.7,19.5,7.6
12,Illinois,2018,15.5,4.1,11.0,20.4,9.1,,14.5,17.7,6.9
13,Indiana,2018,21.1,5.7,13.0,17.5,10.5,6.7,13.5,19.7,7.3
14,Iowa,2018,16.6,4.5,9.6,23.7,11.0,5.3,10.1,16.4,7.1
15,Kansas,2018,17.2,3.9,11.5,17.1,9.0,5.5,15.3,20.7,7.1
16,Kentucky,2018,23.4,5.4,15.3,15.9,13.2,,19.3,24.0,8.1
17,Louisiana,2018,20.5,6.6,14.2,18.8,14.2,5.7,17.5,23.2,6.8
18,Maine,2018,17.8,4.9,13.7,19.4,9.2,5.3,14.2,22.8,8.4
19,Maryland,2018,12.5,5.1,10.5,14.6,9.5,4.3,10.7,15.4,7.0
20,Massachusetts,2018,13.4,3.6,11.4,22.4,7.0,5.6,12.8,18.1,6.8
21,Michigan,2018,18.9,5.4,14.3,19.5,8.9,6.1,16.6,23.2,7.7
22,Minnesota,2018,15.1,3.5,9.8,21.8,6.6,5.0,12.8,17.6,6.4
23,Mississippi,2018,20.5,4.3,15.4,13.8,9.5,5.6,16.5,21.7,7.1
24,Missouri,2018,19.4,7.4,13.8,19.2,14.6,5.6,16.7,22.2,7.3
25,Montana,2018,18.0,3.5,11.9,20.1,6.1,4.7,15.5,21.9,7.9
26,Nebraska,2018,16.0,5.1,10.2,22.3,11.8,5.6,11.6,17.3,7.1
27,Nevada,2018,15.7,2.9,14.5,17.0,7.7,,14.2,15.7,6.4
28,New Hampshire,2018,15.6,3.6,11.3,18.3,8.6,4.7,11.7,20.7,7.9
29,New Jersey,2018,13.1,3.7,11.9,15.2,6.9,,10.5,11.8,7.1
30,New Mexico,2018,15.2,5.0,14.5,15.7,9.8,,14.9,17.2,6.4
31,New York,2018,12.8,6.3,11.2,18.4,14.6,5.4,12.4,15.1,6.8
32,North Carolina,2018,17.4,5.6,12.2,16.4,13.1,5.1,15.1,19.8,7.0
33,North Dakota,2018,19.1,5.1,9.8,22.8,12.9,6.4,13.7,19.6,6.7
34,Ohio,2018,20.5,5.0,13.1,17.0,9.3,5.4,13.2,20.0,7.2
35,Oklahoma,2018,19.7,4.5,14.9,14.0,11.6,,18.5,23.3,7.2
36,Oregon,2018,15.6,5.1,15.6,18.4,9.5,5.4,19.2,26.2,7.9
37,Pennsylvania,2018,17.0,5.0,12.9,18.6,9.0,,15.0,21.6,7.3
38,Rhode Island,2018,14.6,5.7,12.7,18.6,10.9,5.5,15.5,20.8,7.3
39,South Carolina,2018,18.0,5.4,13.2,16.7,11.6,,15.8,19.9,7.6
40,South Dakota,2018,19.0,3.1,9.6,23.2,7.7,4.6,11.0,16.3,7.9
41,Tennessee,2018,20.7,5.6,16.0,15.7,12.2,5.6,18.7,25.2,7.6
42,Texas,2018,14.4,5.0,11.8,18.7,16.0,5.2,15.3,16.5,5.1
43,Utah,2018,9.0,3.2,10.3,11.3,7.6,6.1,20.3,24.3,6.1
44,Vermont,2018,13.7,4.3,12.0,18.5,10.1,,14.2,21.2,7.5
45,Virginia,2018,14.9,3.9,11.1,16.9,6.5,4.9,13.1,16.6,6.9
46,Washington,2018,12.0,4.4,11.8,16.5,8.4,,18.2,23.6,7.1
47,West Virginia,2018,25.2,3.2,19.2,12.6,7.9,,18.2,26.6,8.0
48,Wisconsin,2018,16.4,6.1,12.0,25.0,12.2,4.8,13.5,19.6,7.8
49,Wyoming,2018,18.8,4.0,11.2,19.0,6.7,6.5,10.5,17.9,7.0
