,State Name,SmokingValue,UnemploymentValue,FreqPhysDistressValue,ExcessiveDrinkingValue,EducationLTHSValue,ECigValue,Depression65UpValue,DepressionValue,CancerValue
0,Alabama,20.2,5.8,16.0,13.6,6.4,,18.0,24.1,7.5
1,Alaska,17.4,5.1,9.8,18.2,12.9,6.0,14.5,17.4,5.3
2,Arizona,14.9,5.0,13.2,16.5,12.5,,11.8,16.8,7.5
3,Arkansas,20.2,5.1,17.4,14.9,12.4,7.0,16.5,25.0,7.4
4,California,10.0,5.2,11.6,18.3,16.0,,14.1,14.6,5.8
5,Colorado,13.5,3.7,10.0,19.6,7.6,7.5,13.6,17.2,6.6
6,Connecticut,12.1,5.4,10.6,17.7,9.3,5.6,11.4,14.4,7.2
7,Delaware,15.9,4.7,12.5,18.9,9.7,4.7,12.8,18.8,8.2
8,Florida,14.8,4.6,13.8,18.0,11.6,5.9,14.4,17.7,8.0
9,Georgia,16.3,4.9,13.3,17.1,12.1,5.3,13.2,17.0,6.5
10,Hawaii,12.3,4.0,10.6,19.3,7.6,7.1,10.8,12.8,6.1
11,Idaho,15.3,3.9,12.9,18.7,7.4,5.8,15.9,22.7,6.7
12,Illinois,14.5,3.4,11.5,21.6,8.5,,13.7,18.3,6.4
13,Indiana,19.2,5.0,13.8,16.5,10.2,6.7,15.4,21.0,7.2
14,Iowa,16.4,4.3,9.9,22.5,10.4,5.3,10.0,16.2,6.8
15,Kansas,16.2,3.9,11.6,18.7,8.2,5.5,12.3,19.9,7.6
16,Kentucky,23.6,4.9,16.6,16.8,12.8,,16.5,25.7,9.0
17,Louisiana,21.9,5.6,14.9,20.8,14.0,5.7,17.7,23.9,7.9
18,Maine,17.6,4.0,14.0,19.9,8.7,5.3,16.2,23.5,9.5
19,Maryland,12.7,4.6,10.0,15.1,9.6,4.3,12.2,15.8,7.1
20,Massachusetts,12.0,3.5,10.5,21.3,6.8,5.6,13.9,18.5,7.5
21,Michigan,18.7,5.1,13.9,19.1,8.6,6.1,16.4,21.4,8.3
22,Minnesota,14.6,3.2,9.9,22.0,6.4,5.0,13.6,20.2,6.7
23,Mississippi,20.4,3.9,14.0,14.6,9.3,5.6,17.6,20.6,6.6
24,Missouri,19.6,6.8,13.3,18.1,14.7,5.6,15.8,22.8,8.1
25,Montana,16.6,4.2,13.4,22.7,5.8,4.7,19.0,24.1,8.3
26,Nebraska,14.7,4.7,10.4,21.9,11.4,5.6,11.5,16.2,7.0
27,Nevada,15.7,2.8,14.2,18.4,6.5,,11.9,17.7,6.0
28,New Hampshire,15.9,3.4,13.0,18.6,8.0,4.7,11.7,20.0,8.1
29,New Jersey,13.1,3.0,11.9,15.2,6.7,,10.5,11.8,7.1
30,New Mexico,16.0,4.8,14.4,16.3,9.7,,15.9,17.3,7.0
31,New York,12.7,5.6,11.7,18.2,14.1,5.4,11.7,15.3,6.9
32,North Carolina,18.5,5.1,12.7,15.4,13.1,5.1,18.9,21.6,7.8
33,North Dakota,17.0,4.5,9.3,23.3,12.4,6.4,11.9,17.9,7.2
34,Ohio,20.8,4.7,13.9,18.7,9.2,5.4,14.1,20.3,8.1
35,Oklahoma,18.9,4.5,14.8,13.7,11.6,,17.7,23.0,7.4
36,Oregon,14.5,5.1,12.4,19.6,8.6,5.4,18.4,24.6,7.2
37,Pennsylvania,17.3,4.6,13.0,18.0,9.0,,13.7,19.6,8.0
38,Rhode Island,13.3,4.4,13.0,20.1,10.7,5.5,13.8,19.6,7.9
39,South Carolina,17.5,4.8,13.5,20.1,11.7,,15.8,20.0,8.1
40,South Dakota,18.3,3.2,10.8,22.6,7.9,4.6,11.4,17.3,7.4
41,Tennessee,19.9,4.7,15.1,15.8,12.0,5.6,18.7,25.0,7.9
42,Texas,14.7,4.4,10.9,19.3,15.4,5.2,16.3,17.2,6.1
43,Utah,7.9,3.2,10.7,12.0,7.0,6.1,17.7,23.1,5.4
44,Vermont,15.1,4.1,12.3,21.0,10.0,,15.3,22.1,7.2
45,Virginia,14.0,3.5,11.7,16.6,6.9,4.9,13.4,17.0,7.0
46,Washington,12.6,4.7,12.2,15.7,8.3,,19.4,24.2,7.6
47,West Virginia,23.8,3.3,19.0,13.2,7.2,,18.9,28.8,9.8
48,Wisconsin,15.4,6.2,11.3,23.6,12.9,4.8,12.1,20.5,7.7
49,Wyoming,18.4,3.7,11.8,19.0,5.5,6.5,12.9,19.2,7.3
