,Year,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_1Y_Chg,range_category,2017_age_adjusted_rate,2017_num_deaths,Normalized_Death_Rate,Normalized_Long-Acting_Rate,Normalized_Tot_Opioid_Clms,State Name,SmokingValue,UnemploymentValue,FreqPhysDistressValue,ExcessiveDrinkingValue,EducationLTHSValue,ECigValue,Depression65UpValue,DepressionValue,CancerValue
0,2017,14415.0,9932.0,2051853.0,28457799.0,7.21,-0.26,191462.0,9.33,-0.63,16.1 to 18.5,18.0,835,17.13001124631397,3927.8397763374433,42093.73049794378,Alabama,20.9,7.8,16.6,13.9,8.3,4.9,18.0,23.8,8.1
1,2017,2461.0,1831.0,78398.0,1227513.0,6.39,-0.55,15157.0,19.33,0.04,18.6 to 21.0,20.2,147,19.872921454643773,2049.0739488982017,10598.621062592943,Alaska,21.0,6.0,12.1,21.3,13.5,3.5,12.9,18.5,6.0
2,2017,22950.0,17110.0,1552551.0,25057852.0,6.2,-0.39,244929.0,15.78,-0.58,21.1 to 57.0,22.2,"1,532",21.74898154573362,3477.125522855737,22040.73305992838,Arizona,15.6,5.7,13.2,16.7,13.3,5.3,16.0,18.8,7.1
3,2017,8989.0,7079.0,1130357.0,18228050.0,6.2,-0.19,107547.0,9.51,-0.29,13.6 to 16.0,15.5,446,14.860004431346612,3583.2934900852783,37661.68167938041,Arkansas,22.3,6.0,16.4,15.8,12.8,5.7,16.0,24.8,7.1
4,2017,119832.0,83794.0,6809889.0,139049933.0,4.9,-0.17,807153.0,11.85,-0.52,11.1 to 13.5,11.7,"4,868",12.368358476696912,2050.7719082870462,17302.207957788632,California,11.3,6.0,11.1,19.2,16.7,3.0,18.5,17.3,5.9
5,2017,20053.0,15291.0,1127939.0,16928325.0,6.66,-0.45,171282.0,15.19,-0.77,16.1 to 18.5,17.6,"1,015",18.08661439070829,3052.1295429254164,20099.111082996176,Colorado,14.6,4.3,10.4,20.5,8.4,5.3,13.5,17.4,6.0
6,2017,17452.0,11657.0,641082.0,16625633.0,3.86,-0.28,102513.0,15.99,-0.76,21.1 to 57.0,30.9,"1,072",30.000305040415054,2868.863125567228,17940.910033506872,Connecticut,12.7,6.3,10.6,17.1,9.6,3.2,13.2,17.6,7.2
7,2017,3525.0,2612.0,222382.0,4049166.0,5.49,-0.52,43674.0,19.64,0.52,21.1 to 57.0,37.0,338,35.32523779215173,4564.48057791253,23241.707191403217,Delaware,17.0,5.4,12.3,16.8,9.4,4.8,12.9,19.7,7.7
8,2017,70945.0,44994.0,5563661.0,107515188.0,5.17,-0.04,775968.0,13.95,-0.32,21.1 to 57.0,25.1,"5,088",732.1853603221155,111665.17485818226,800635.0499204209,Florida,16.1,5.6,12.7,17.1,11.6,4.3,16.0,17.1,7.6
9,2017,29439.0,21545.0,2783756.0,48296702.0,5.76,-0.21,296460.0,10.65,0.08,13.6 to 16.0,14.7,"1,537",7.331751449523516,1414.1646289692526,13278.98964744293,Georgia,17.5,5.9,10.9,14.4,13.0,4.4,13.0,16.3,6.0
10,2017,4278.0,2913.0,155385.0,4028031.0,3.86,0.01,21270.0,13.69,-0.37,13.6 to 16.0,13.8,203,1.9499862156146823,204.3162896853414,1492.603980853633,Hawaii,12.8,4.4,10.7,21.1,7.7,4.7,10.0,11.8,6.1
11,2017,5313.0,4167.0,439991.0,6271397.0,7.02,-0.3,70992.0,16.13,-0.63,13.6 to 16.0,14.4,236,16.568461091847546,4984.017753527292,30889.71934009785,Idaho,14.3,3.7,11.3,16.6,7.9,4.6,15.9,21.8,6.8
12,2017,46798.0,33519.0,2342537.0,52029841.0,4.5,-0.18,235390.0,10.05,-0.48,21.1 to 57.0,21.6,"2,778",161.7264796546575,13703.670282904906,136375.1844747237,Illinois,15.5,4.2,11.2,21.4,9.2,4.4,14.5,17.8,6.2
13,2017,21829.0,16447.0,1999694.0,34301941.0,5.83,-0.3,230251.0,11.51,-0.84,21.1 to 57.0,29.4,"1,852",14.4927218677644,1801.8162541979596,15648.492960387292,Indiana,21.8,6.3,13.4,17.6,10.9,6.0,15.8,23.5,7.2
14,2017,10773.0,8054.0,724692.0,16885168.0,4.29,-0.24,98706.0,13.62,-0.46,11.1 to 13.5,11.5,341,5.121598154902961,1482.4999046271312,10884.40237558046,Iowa,17.1,4.9,10.3,22.1,11.4,4.0,13.7,20.5,7.2
15,2017,10019.0,7581.0,817382.0,14198143.0,5.76,-0.15,117592.0,14.39,-0.48,11.1 to 13.5,11.8,333,10.59986312489058,3743.12043418058,26018.430392640574,Kansas,17.4,4.4,11.3,18.7,9.0,4.6,16.7,20.9,7.1
16,2017,16154.0,10386.0,1649819.0,31027472.0,5.32,-0.19,130636.0,7.92,-0.57,21.1 to 57.0,37.2,"1,566",53.83815137802977,4491.188214189207,56719.79889422075,Kentucky,24.6,5.6,17.7,17.3,13.7,6.1,18.6,24.3,8.5
